	Name	Categories	Extrainfo
Virgil	Finlay	Illustration, Fantasy, Sci-Fi, B&W, USA	
Anato	Finnstark	Illustration, Concept Art, MTG, France	
Paul Gustav	Fischer	Painting, Oil, Landscape, Portrait, Denmark	
Oskar	Fischinger	Movie Director, Animation, Abstract, Germany	
Dan	Flavin	Light Installation, Minimalism, USA	
Govert	Flinck	Painting, Oil, Portrait, Netherlands, 17th Century	
Alex Russell	Flint	Painting, Oil, Portrait, UK	
Piotr	Foksowicz	Illustration, Concept Art, Game Art, Fantasy, Poland	
Stanhope	Forbes	Painting, Oil, Landscape, Ireland, 19th Century	
Eleanor	Fortescue-Brickdale	Painting, Illustration, UK	
Chris	Foss	Illustration, Painting, Sci-Fi, Guernsey	
Hal	Foster	Illustration, Comic, Canada	
Jon	Foster	Illustration, Comic, Cover Art, Game Art, MTG, USA	
	Fra Angelico	Painting, Oil, Tempera, Portrait, Mythology, Italy, 15th Century	
Matt	Fraction	Comic, Marvel, USA	
Jean-Honoré	Fragonard	Painting, Oil, Portrait, Rococo, France, 18th Century	
Francesco	Francavilla	Comic, Graphic Novel, DC Comics, Marvel, Cover Art, Italy	
Piero della	Francesca	Painting, Oil, Italy, 15th Century	
Lisa	Frank	Illustration, Rainbow, USA	
Frank	Frazetta	Illustration, Fantasy, Sci-Fi, USA	512px + Highres. Fix
Lucian	Freud	Painting, Oil, Portrait, Expressionism, Nudity, UK	potentially NSFW
Caspar David	Friedrich	Painting, Oil, Landscape, Romanticism, Germany, 19th Century	
Chris	Friel	Photography, Landscape, B&W, UK	
Brian	Froud	Illustration, Fantasy, Concept Art, Jim Henson, UK	
Ando	Fuchs	Photography, Portrait, Landscape, B&W, Italy	
Ernst	Fuchs	Painting, Oil, Symbolism, Realism, Austria	start with 768px, DPM++ SDE Karras for cleaner details
Goro	Fujita	Illustration, Animation, Character Design, Japan, USA	
Ellen	Gallagher	Painting, Gouache, Watercolor, Collage, Portrait, USA	
Stephen	Gammell	Illustration, Watercolor, Ink, Horror, USA	
Hope	Gangloff	Painting, Portrait, USA	
Paul	Gauguin	Painting, Oil, Portrait, France, 19th Century	
Jeremy	Geddes	Illustration, Painting, Oil, Covert Art, Author, New Zealand	
Artemisia	Gentileschi	Painting, Oil, Portrait, Baroque, Italy, 17th Century	
Edwin	Georgi	Painting, Oil, Gouache, Watercolor, Portrait, Pin-Ups, USA	
Justin	Gerard	Illustration, Fantasy, USA	
Daniel F.	Gerhartz	Painting, Oil, Portrait, USA	
Atey	Ghailan	Illustration, Concept Art, Game Art, USA	
Adrian	Ghenie	Painting, Oil, Romania	
Domenico	Ghirlandaio	Painting, Oil, Portrait, Mythology, Italy, 15th Century	
Donato	Giancola	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA	512px + Highres. Fix
Dave	Gibbons	Illustration, Author, Comic, DC Comics, Marvel, Graphic Novel, Watchmen, UK	
Charles Dana	Gibson	Illustration, Ink, Cartoon, USA	
Ralph	Gibson	Photography, Portrait, USA	512px + Highres. Fix
Hans Rudolf	Giger	Painting, Oil, Concept Art, Cover Art, Horror, Switzerland	
James	Gilleard	Illustration, Animation, Concept Art, UK	
Sam	Gilliam	Painting, Visual Arts, USA	
William James	Glackens	Illustration, Painting, USA, 19th Century	
Milton	Glaser	Illustration, Flat Style, USA	
Warwick	Goble	Illustration, Watercolor, Ink, Children's Book, UK, 19th Century	
Basil	Gogos	Illustrator, Painting, Oil, Acrylic, Gouache, Portrait, Cover Art, Horror, Egypt, USA	wants to create basil leaves
Nan	Goldin	Photography, Portrait, USA	
Rob	Gonsalves	Painting, Oil, Acrylic, Surrealism, Canada	
Josan (Death Burger)	Gonzalez	Illustration, Cocos Islands	
Albert	Goodwin	Painting, Oil, Watercolor, Landscape, UK, 19th Century	
Misha	Gordin	Photography, Concept Art, B&W, Latvia	
Derek	Gores	Collage, USA	
Alessandro (Shout)	Gottardo	Illustration, Flat Style, Italy	DPM++ SDE Karras
J.J.	Grandville	Illustration, Painting, Lithography, France, 19th Century	
Duncan	Grant	Painting, Oil, Portrait, Scotland, UK	
Eugène	Grasset	Illustration, Lithography, Art Nouveau, Switzerland, 19th Century	768px minimum
Laurie	Greasley	Illustration, Concept Art, Scotland, UK	
Kate	Greenaway	Illustration, Watercolor, Children's Book, UK, 19th Century	
Martin	Grelle	Painting, USA	
Alex	Grey	Painting, Oil, Psychedelic Art, USA	
Peter	Gric	Illustration, Painting, Horror, Czech Republic	
Carne	Griffiths	Painting, Ink, Portrait, UK	
Gris	Grimly	Author, Illustration, Children's Book, USA	
Jordan	Grimmer	Concept Art, Game Art, UK	
John Atkinson	Grimshaw	Painting, Oil, Cityscape, UK, 19th Century	
Alex	Gross	Painting, Oil, Portrait, USA	hard to get anything besides upper body portraits
Huang	Guangjian	Illustration, Concept Art, Game Art, China	
Rebecca	Guay	Illustration, Fantasy, MTG, USA	
Sam	Guay	Painting, Watercolor, Fantasy, MTG, USA	512px + Highres. Fix, had to use [from:to:when] for H.C.
Armand	Guillaumin	Painting, Oil,Portrait, Landscape, Still Life, Impressionism, France, 19th Century	
Grégoire	Guillemin	Illustration, Painting, Pop-Art, France	
Saskia	Gutekunst	Illustration, Concept Art, Germany	
	Guweiz (Zheng Wei Gu)	Illustration, Portrait, Singapore	
Arthur	Hacker	Painting, Oil, Portrait, UK, 19th Century	
Ernst	Haeckel	Illustration, Germany, 19th Century	
Frans	Hals	Painting, Oil, Portrait, Baroque, Netherlands, 17th Century	already good at 512px
Richard	Hamilton	Painting, Oil, Acrylic, Collage, Pop-Art, UK	
Erin	Hanson	Painting, Landscape, Oil, USA	
Tomer	Hanuka	Illustration, Israel	
David A.	Hardy	Illustration, Painting, Sci-Fi, Cover Art, Landscape, UK	
Keith	Haring	Illustration, Painting, Pop-Art, USA	
Charley	Harper	Illustration, Flat Style, USA	512px + Highres. Fix
Conor	Harrington	Painting, Oil, Grafitti, Portrait, Ireland	
John	Harris	Illustration, Painting, Sci-Fi, Cover Art, UK	
Lawren	Harris	Painting, Landscape, Oil, Canada	
Marsden	Hartley	Painting, Oil, Still Life, Landscape, Moderism, USA	
Hans	Hartung	Painting, Informel, Tachisme, Abstract, B&W, Germany, France	
Kawase	Hasui	Illustration, Woodcut, Japan	
Naoto	Hattori	Painting, Fantasy, Japan	512px + Highres. Fix, DPM2++ Karas, 40 Steps
Cornelis de	Heem	Painting, Oil, Still Life, Botanical, 17th Century, Netherlands	
Brent	Heighton	Illustration, Painting, Oil, Watercolor, Cityscape, Canada	
Lowell	Herrero	Painting, Oil, Naive Art, USA	
F. Scott	Hess	Painting, Oil, Portrait, Realism, USA	
